,kepid,koi_slogg,koi_steff,koi_srad,koi_kepmag,koi_duration,koi_depth,koi_prad
1160,9651668,4.4110000000000005,5561.0,0.956,14.29,2.69382,18136.0,12.73
1162,12506770,4.684,4153.0,0.581,15.988,1.6271,599.6,1.41
1165,11337372,4.391,5301.0,0.977,15.28,3.3351,771.9,3.09
1166,11337833,4.508,6032.0,0.929,14.739,5.359,498.9,2.07
1168,11547505,4.323,5499.0,1.087,13.757,1.3015,217.4,1.58
1170,11502867,4.473,5720.0,0.903,14.835,2.11481,14319.0,11.38
1171,9909735,4.513999999999999,5729.0,0.939,13.297,2.757,1630.6,3.86
1172,9909735,4.513999999999999,5729.0,0.939,13.297,2.834,1003.0,3.48
1173,11551692,4.62,4920.0,0.72,12.231,2.89,2018.1,3.47
1174,11551692,4.62,4920.0,0.72,12.231,2.0747,691.6,2.2
1175,12266636,4.407,5833.0,1.022,14.264000000000001,5.0361,553.2,2.48
1178,7869917,3.843,6900.0,2.599,12.082,4.5871,233.9,4.65
1179,9824805,4.426,6240.0,1.079,15.216,3.686,163.0,1.71
1182,7939330,4.572,5510.0,0.803,15.481,16.599,1035.2,3.06
1184,12602568,4.553,5840.0,0.849,15.068,5.159,486.0,2.33
1185,9941066,4.66,4166.0,0.612,15.960999999999999,2.5736,505.6,1.44
1186,5972334,4.484,5422.0,0.887,14.991,4.1223,14638.0,10.89
1196,7691260,4.643,5229.0,0.688,14.083,1.591,190.0,0.93
1197,9821454,4.46,6296.0,1.006,14.307,4.605,213.9,1.58
1198,9821454,4.46,6296.0,1.006,14.307,4.653,101.9,1.09
1199,11954842,4.3839999999999995,5948.0,1.025,13.029000000000002,3.4497,257.2,1.64
1201,5470739,4.538,5767.0,0.881,15.401,5.144,752.8,2.4
1202,10022908,4.606,4847.0,0.761,14.94,2.1568,555.4,1.95
1204,5617854,4.699,4132.0,0.564,14.699000000000002,1.5639,532.8,1.42
1205,4932442,4.212,5861.0,1.304,14.042,4.608,119.6,1.7
1207,5183357,4.154,6309.0,1.614,14.171,8.378,437.5,3.38
1208,5269467,4.593,4564.0,0.691,15.81,3.72,894.8,2.31
1216,11764462,4.493,5646.0,0.932,13.069,2.3906,159.4,1.16
1217,11656246,4.247,6109.0,1.36,12.841,5.2706,241.5,2.49
1218,7808587,4.25,5810.0,1.259,13.939,3.0998,163.7,1.6
1219,4741126,4.274,6119.0,1.299,13.47,6.22,189.3,1.78
1220,5301750,4.3260000000000005,6036.0,1.131,14.764000000000001,4.473,446.7,2.86
1221,5301750,4.3260000000000005,6036.0,1.131,14.764000000000001,5.676,460.5,3.15
1222,5301750,4.3260000000000005,6036.0,1.131,14.764000000000001,5.038,472.6,2.56
